server,grade,score,verifiable,flags,repo,website,report_file
eu.ansvar/argentine-law-mcp,E,35,True,"repo_link_dead,version_desync,description_desync,description_drift",https://github.com/Ansvar-Systems/argentine-law-mcp,,reports/report-eu.ansvar_argentine-law-mcp.html
eu.ansvar/india-law-mcp,E,35,True,"repo_link_dead,version_desync,description_desync,description_drift",https://github.com/Ansvar-Systems/india-law-mcp,,reports/report-eu.ansvar_india-law-mcp.html
com.pcrzero/mcp,D,45,True,"repo_link_dead,description_desync,description_drift",https://github.com/Scytalex-LLC/pcrzero-mcp,https://pcrzero.com/mcp,reports/report-com.pcrzero_mcp.html
io.github.jeresalmisto/calcfi-mcp,D,45,True,"repo_link_dead,description_desync,description_drift",https://github.com/jeresalmisto/calcfi-mcp,https://calcfi.app,reports/report-io.github.jeresalmisto_calcfi-mcp.html
io.github.datasynx/cartography,D,53,True,"repo_link_dead,unresolved_package",https://github.com/datasynx/agentic-ai-cartography,,reports/report-io.github.datasynx_cartography.html
io.github.dmsnavin/grandline-mcp,D,53,True,"repo_link_dead,unresolved_package",https://github.com/dmsnavin/luzomi-grandline,https://grandline.luzomi.com,reports/report-io.github.dmsnavin_grandline-mcp.html
io.github.ojuschugh1/sqz,D,53,True,"repo_link_dead,unresolved_package",https://github.com/ojuschugh1/sqz,https://github.com/ojuschugh1/sqz,reports/report-io.github.ojuschugh1_sqz.html
ai.agentutility/mcp-bestiary,D,55,True,"repo_link_dead,version_desync",https://github.com/rooz21/x402,https://mcp.agentutility.ai/bestiary/,reports/report-ai.agentutility_mcp-bestiary.html
ai.spideriq/leads,D,55,True,"repo_link_dead,version_desync,description_desync",https://github.com/SpiderIQ/SpiderIQ,,reports/report-ai.spideriq_leads.html
io.github.Ansvar-Systems/ot-security-mcp,D,55,True,"repo_link_dead,version_desync,description_desync",https://github.com/Ansvar-Systems/ot-security-mcp,,reports/report-io.github.Ansvar-Systems_ot-security-mcp.html
